Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Shatrunjay Pratap Singh,Log Party,0,Graduate Professional,48,9802000,0
Gita Rani,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,48,10380000,0
Harpal Singh,BSP,0,Graduate,52,135015000,600000
Jaswant Singh,IND,0,Graduate,31,2273000,0
Mahesh,Bahujan Mukti Party,0,12th Pass,38,3765000,0
Pramod Kumar,IND,0,Graduate Professional,26,1600000,0
Rajeev Kumar,BJP,0,Post Graduate,40,13819017,1481848
Rajendri Alias Uma Devi,IND,0,Literate,48,134845400,600000
Samar Pal Singh,INC,0,Post Graduate,67,16692000,0
Susheel Kumar Maurya,IND,0,Post Graduate,33,2418900,550000
Vivek Singh,SP,0,Post Graduate,32,54712697,0
Ajit Kumar,Rashtrawadi Janlok Party (Satya),0,Post Graduate,45,2535000,0
Akram Khan,IND,0,Literate,39,1525112,0
Devender Nagpal,BJP, 4 ,Graduate,51,1407648765,214852017
Dushyant Khare,IND,0,12th Pass,42,50000,0
Hemender Singh Chauhan,AAP,0,12th Pass,29,1330000,113000
Kallu,IND,0,Illiterate,70,2150000,0
Mohd Adil,All India Majlis-E-Ittehadul Muslimeen, 1 ,Graduate Professional,27,2182000,500000
Prateek Chaudhary,IND,0,Graduate Professional,33,6222933,0
Rekha Rani,INC,0,Literate,49,24901535,303000
Samarpal Singh,SP, 2 ,Post Graduate,65,12360000,300000
Shadab Khan,BSP,0,10th Pass,42,21135000,0
Akbar Ali,IND,0,Post Graduate,36,1061055,0
Islam,AAP,0,Literate,49,10220000,4050581
Mehboob Ali,SP, 1 ,12th Pass,69,78672141,3333333
Moh. Ahsan,Pachchasi Parivartan Samaj Party,0,Literate,44,390000,0
Mohammed Naved Ayaz,BSP, 2 ,Graduate,36,3149378,0
Ram Singh,BJP,0,10th Pass,60,24839525,1754628
Saleem Khan,INC, 2 ,Graduate Professional,54,70317499,2185000
Shakina,IND,0,Literate,66,78722141,3333333
Shivkumar,Aazad Samaj Party (Kanshi Ram),0,12th Pass,30,3200000,1000000
Aasim Sabri,INC, 1 ,Graduate Professional,44,48719946,2958148
Abdul Khaliq,Naki Bharatiya Ekta Party,0,8th Pass,35,1753000,0
Abrar Ahmad,Aazad Samaj Party (Kanshi Ram),0,12th Pass,49,10962407,0
Ahtesham Rza Hashmi,All India Majlis-E-Ittehadul Muslimeen,0,Literate,33,1946722,0
Amar Singh,AAP,0,10th Pass,61,14660000,0
Angoori,IND,0,Literate,50,18013894,2160000
Kamal Singh,Rashtriya Parivartan Dal,0,Graduate,46,2745000,0
Mahendra,BJP,0,8th Pass,50,18013894,2160000
Mukhya Gurjar,SP, 11 ,Graduate,55,71295856,22600000
Omkar,Lok Dal,0,Graduate Professional,38,3511878,0
Phireram,BSP,0,8th Pass,38,37095000,0
Suraj,IND,0,Literate,57,3100000,0
Vikar Ahmad,Vikas India Party,0,5th Pass,46,1150000,200000
Anil Kumar,IND,0,Graduate,37,3602700,0
Gudiya Katheriya,BJP,0,8th Pass,46,1075000,0
Jayveer Singh,IND,0,Graduate,38,494125,0
Jitendra Kumar Dohare,SP,0,Post Graduate,36,7386453,700000
Muhar Singh Ambadi,Bahujan Mukti Party,0,Others,62,13443000,0
Ravi Shastri Dohrey,BSP, 2 ,Post Graduate,32,17000000,0
Sani Gautam,IND,0,Graduate Professional,33,422047,0
Sarita Dohare,INC,0,10th Pass,41,18106845,0
Satish Chandra,IND,0,8th Pass,38,298804,0
Suneeta Devi,AAP,0,8th Pass,48,56050,0
Vinay Gautam Advocate,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,30,214489,0
Ankita Yadav,AAP,0,Post Graduate,36,10411658,2352685
Arun Kumar Dubey (Lal Dubey),BSP,0,10th Pass,52,244450000,15400000
Ashrit Prakash Darshan,IND,0,Graduate,33,1180000,0
Dhirendra Singh Gautam,Aazad Samaj Party (Kanshi Ram),0,Graduate,25,25000,0
Gopal Swaroop Gandhi,Kisan Majdoor Berojgar Sangh,0,Post Graduate,59,2335700,0
Lakhan Singh,IND,0,8th Pass,57,10155982,0
Lakhan Singh Rajput,BJP,0,Graduate Professional,64,9176396,0
Manoj Kumar,INC,0,Graduate,29,1001000,0
Om Prakash Rajput,Jan Adhikar Party,0,Post Graduate,42,8200000,212341
Pradeep Kumar Yadav,SP, 2 ,Graduate Professional,64,67971831,2093281
Sadhana,Sabka Dal United,0,12th Pass,27,230000,0
Akhilesh Kumar Tripathi,IND,0,Post Graduate,43,8935010,0
Amar Deep,Kisan Majdoor Berojgar Sangh,0,Post Graduate,37,132000,0
Er. Shivam Pal,Rashtriya Samaj Paksha,0,Post Graduate,29,86451,0
Gaurav Raghuvanshi,BSP, 1 ,Others,41,2223281,0
Jitendra Singh,AAP,0,Graduate,35,3622752,0
